lead_id,company_name,industry,company_size,country,signup_date,source,demo_requested,emails_opened,response_time_hours,n_meetings,decision_maker_contacted,quoted_acv_eur,company_description,converted,converted_within_days,lead_segment_truth
L0140,Verbena Works,fintech,24,DE,2025-11-29,Conf.,True,11,1.5,0,False,4114.95,"pequeña jugador de fintech en DE, ciclo de compra corto. 🚀💰",False,,quick_mover
L0500,Garbanzo Pro,fintech,272,FR,2024-06-01,outbound,True,26,10.6,8,True,38384.6,"Multinacional de fintech con procesos maduros, decisión por comité de compras.",True,20.0,strategic
L0395,Trébol Systems,healthcare,15,ES,2024-05-13,conference,True,6,1.1,2,False,7179.33,"Pyme de healthcare ágil, ya usa varias herramientas SaaS, presupuesto acotado.",True,1.0,quick_mover
L0407,Bizum Studio,healthcare,7,ES,2025-09-26,paid,True,8,2.3,1,False,5011.49,"Empresa de healthcare pequeña en ES, equipo joven y decide rápido.",False,,quick_mover
L0409,Garbanzo Networks,logistics,5,DE,2025-07-24,organic,True,6,1.3,5,True,2487.38,"pequeña jugador de logistics en DE, ciclo de compra corto.",False,,quick_mover
L0124,Cala Networks,healthcare,1263,ES,2025-11-17,outbound,True,35,23.3,3,True,40633.06,"Established healthcare corp in ES, formal RFP process, long sales cycle.",False,,strategic
L0243,Faro Cloud,fintech,35,ES,2024-01-25,outbound,False,13,1.5,3,True,7181.65,"Startup de fintech con unos 35 empleados, busca cerrar trato en semanas.",True,37.0,quick_mover
L0619,Hidra Labs,fintech,30,PT,2025-10-07,paid,False,8,1.8,1,False,8067.51,"Empresa de fintech pequeña en PT, equipo joven y decide rápido.",False,,quick_mover
L0754,Setas Systems,fintech,641,ES,2025-05-20,conference,True,28,11.0,7,True,26412.78,"Corporación del sector fintech con presencia en varios países, ciclo de compra largo y comité formal.",False,,strategic
L0699,Hada Pro, healthcare ,-1,IT,2024-04-30,organic,True,1,41.6,0,False,5570.3,Equipo de healthcare en IT pidiendo info pero sin sponsor interno claro.,False,,tire_kicker
L0490,Bolero Hub,fintech,205,DE,2025-09-13,outbound,True,30,32.0,6,True,22335.34,"Multinacional de fintech con procesos maduros, decisión por comité de compras.",False,,strategic
L0654,Garbanzo Tech,fintech,16,DE,2025-12-09,paid,False,15,1.8,5,False,5972.08,"Small fintech company in DE, fast decision cycle, looking to close in weeks.",False,,quick_mover
L0270,Estuario Dynamics,SaaS,36,FR,2025-04-15,paid,yes,8,1.2,2,True,4226.14,"Pyme de SaaS ágil, ya usa varias herramientas SaaS, presupuesto acotado.",True,18.0,quick_mover
L0282,Pulpo Labs,fintech,45,ES,2025-10-30,paid,True,11,2.2,0,True,8635.69,"Startup de fintech con unos 45 empleados, busca cerrar trato en semanas.",False,,quick_mover
L0586,Dátil Studio,N/A,59,ES,2025-02-07,organic,False,0,123.5,1,True,7353.52,"Negocio de fintech curioso pero sin urgencia, comparando alternativas gratuitas.",False,,tire_kicker
L0466,Pulpo AI,fintech,118,ES,2025-10-19,organic,False,3,69.0,0,True,4826.13,Equipo de fintech en ES pidiendo info pero sin sponsor interno claro.,False,,tire_kicker
L0662,Pulpo Studio,healthcare,72,ES,2025-09-10,organic,False,6,155.0,1,True,8764.5,Equipo de healthcare en ES pidiendo info pero sin sponsor interno claro.,False,,tire_kicker
L0221,Cardo Dynamics,fintech,36,UK,2024-08-07,conference,True,8,2.0,2,True,8962.53,"Pyme de fintech ágil, ya usa varias herramientas SaaS, presupuesto acotado.",True,25.0,quick_mover
L0692,Acme Data,SaaS,49,ES,2024-08-02,referral,False,5,191.5,0,True,3269.57,"Empresa de SaaS de tamaño medio, descarga whitepapers pero no responde llamadas.",False,,tire_kicker
L0237,Gamba Systems, healthcare ,263,ES,2025-04-28,conference,True,27,14.7,3,True,25641.56,"Corporación del sector healthcare con presencia en varios países, ciclo de compra largo y comité formal.",True,38.0,strategic
L0431,Olivo Tech,healthcare,76,ES,2024-09-12,organic,False,2,42.6,1,False,4235.79,Equipo de healthcare en ES pidiendo info pero sin sponsor interno claro.,False,,tire_kicker
L0640,Trébol Labs,retail,275,ES,2025-03-07,organic,False,3,68.4,1,False,5923.75,"Empresa de retail de tamaño medio, descarga whitepapers pero no responde llamadas.",False,,tire_kicker
L0372,Bizum Group,fintech,18,IT,2024-11-05,organic,True,14,2.4,3,False,5899.87,"pequeña jugador de fintech en IT, ciclo de compra corto.",False,,quick_mover
L0350,Yedra Dynamics,retail,25,UK,2024-04-12,paid,True,8,3.0,4,True,5585.05,"Empresa de retail pequeña en UK, equipo joven y decide rápido.",True,4.0,quick_mover
L0493,Faro Tech,SaaS,311,DE,2025-12-27,conference,False,2,165.0,0,False,6132.36,"Empresa de SaaS de tamaño medio, descarga whitepapers pero no responde llamadas.",False,,tire_kicker
L0285,Acme Dynamics,logistics,306,FR,2025-11-04,outbound,True,23,16.3,7,True,28107.64,"Líder de mercado en logistics con sede en FR, integra herramientas a nivel grupo.",False,,strategic
L0267,Jaca Studio,logistics,10,DE,2024-03-26,organic,True,5,3.0,5,True,6319.5,"Startup de logistics con unos 10 empleados, busca cerrar trato en semanas.",False,,quick_mover
L0252,Duna Works,logistics,209,PT,2025-02-14,organic,True,2,158.1,2,False,4328.01,"Pyme de logistics en fase exploratoria, sin presupuesto asignado todavía.",False,,tire_kicker
L0564,Pulpo Pro,fintech,69,ES,2024-06-07,organic,True,0,111.6,0,True,3940.92,Equipo de fintech en ES pidiendo info pero sin sponsor interno claro.,False,,tire_kicker
L0571,Iberia Solutions,SaaS,6,ES,2024-12-19,referral,True,7,1.7,3,True,4004.58,"pequeña jugador de SaaS en ES, ciclo de compra corto.",True,33.0,quick_mover
L0725,Jacaranda Studio,,99999,ES,2025-03-17,organic,True,11,1.7,2,False,3233.15,"tech startup, agile team, ready to commit Q3.",False,,quick_mover
L0424,Acme Studio,fintech,7,ES,2024-10-30,paid,True,8,1.9,1,True,4332.69,"Startup de fintech con unos 7 empleados, busca cerrar trato en semanas.",True,,quick_mover
L0041,Kéfir Networks,healthcare,747,IT,2024-01-05,outbound,True,28,15.0,7,True,15487.9,"Empresa establecida en healthcare, más de 747 empleados, requiere RFP y prueba piloto.",True,46.0,strategic
L0348,Manzana Digital,retail,41,UK,2025-07-20,referral,True,4,2.2,0,False,4073.89,"Empresa de retail pequeña en UK, equipo joven y decide rápido.",False,,quick_mover
L0641,XXX DO NOT CONTACT XXX,logistics,39,IT,2024-01-03,referral,False,,50.5,0,False,7022.45,...,False,,tire_kicker
L0084,Cala AI,fintech,8,FR,2025-10-20,conference,True,7,4.6,3,True,4143.25,"Pyme de fintech ágil, ya usa varias herramientas SaaS, presupuesto acotado.",False,,quick_mover
L0546,Garbanzo Hub,SaaS,675,España,2025-10-15,conference,True,24,26.8,4,True,11300.87,"Corporación del sector SaaS con presencia en varios países, ciclo de compra largo y comité formal.",False,,strategic
L0376,Acme Cloud,retail,23,UK,2025-12-04,referral,True,9,1.8,6,False,4451.58,"Pyme de retail ágil, ya usa varias herramientas SaaS, presupuesto acotado.",True,11.0,quick_mover
L0688,Manzana Hub,retail,58,FR,2024-12-10,outbound,False,3,65.4,0,False,3066.53,Equipo de retail en FR pidiendo info pero sin sponsor interno claro.,False,,tire_kicker
L0494,Duna Dynamics,logistics,16,,2024-04-23,organic,True,8,1.5,3,True,2778.19,"pequeña jugador de logistics en PT, ciclo de compra corto.",False,,quick_mover
L0567,Pulpo Data,RETAIL,92,ES,2025-09-16,paid,True,1,44.8,0,False,3618.97,"Pyme de retail en fase exploratoria, sin presupuesto asignado todavía.",False,,tire_kicker
L0615,Ibis Works,healthcare,23,DE,2025-05-22,referral,False,7,1.8,0,True,3835.07,"Pyme de healthcare ágil, ya usa varias herramientas SaaS, presupuesto acotado.",True,5.0,quick_mover
L0587,Naranja Digital,retail,8,ES,2024-12-04,paid,False,7,1.1,4,True,2989.27,"Pyme de retail ágil, ya usa varias herramientas SaaS, presupuesto acotado.",True,16.0,quick_mover
L0237,Gamba Systems, healthcare ,263,ES,2025-04-28,conference,True,27,14.7,3,True,25641.56,"Corporación del sector healthcare con presencia en varios países, ciclo de compra largo y comité formal.",True,38.0,strategic
L0363,Bolero Dynamics,logistics,29,ES,2025-02-13,referral,True,7,10.0,1,True,3784.63,"pequeña jugador de logistics en ES, ciclo de compra corto.",True,1.0,quick_mover
L0552,Trébol Dynamics,logistics,22,IT,2025-06-23,paid,True,8,2.3,3,True,3927.39,"Empresa de logistics pequeña en IT, equipo joven y decide rápido.",True,2.0,quick_mover
L0054,Setas Studio,fintech,172,IT,2024-12-19,organic,False,3,120.7,4,False,8599.66,"Negocio de fintech curioso pero sin urgencia, comparando alternativas gratuitas.",False,,tire_kicker
L0412,test,fintech,120,ES,2024-07-02,referral,False,4,67.0,1,False,8077.2,,True,2.0,tire_kicker
L0049,Yedra Group,logistics,44,ES,2024-06-25,Referral,True,1,31.1,0,False,5247.85,Equipo de logistics en ES pidiendo info pero sin sponsor interno claro.,False,,tire_kicker
L0378,Lila Hub,SaaS,336,FR,2024-03-07,conference,True,27,42.8,5,True,21993.27,"Empresa establecida en SaaS, más de 336 empleados, requiere RFP y prueba piloto.",False,,strategic
L0515,Jaca Systems,fintech,26,DE,2025-11-09,paid,True,6,1.9,1,True,,"Empresa de fintech pequeña en DE, equipo joven y decide rápido.",True,18.0,quick_mover
L0635,Garbanzo Networks,logistics,42,DE,2025-11-28,paid,True,8,2.2,2,True,5595.46,"Pyme de logistics ágil, ya usa varias herramientas SaaS, presupuesto acotado.",True,12.0,quick_mover
L0318,Cardo Labs,fintech,315,ES,2024-03-28,organic,True,5,64.2,1,False,8973.18,"Pyme de fintech en fase exploratoria, sin presupuesto asignado todavía.",False,,tire_kicker
L0383,Trébol Labs,retail,70,ES,2025-07-14,referral,False,1,56.2,0,False,6675.29,"Empresa de retail de tamaño medio, descarga whitepapers pero no responde llamadas.",False,,tire_kicker
L0658,Verbena Group,Retail,13,DE,2025-02-01,paid,True,7,3.1,3,False,4689.24,"pequeña jugador de retail en DE, ciclo de compra corto.",True,8.0,quick_mover
L0183,Manzana Pro,fintech,233,ES,2025-11-28,referral,True,25,10.3,5,True,23468.2,"Multinacional de fintech con procesos maduros, decisión por comité de compras.",False,,strategic
L0427,Jaca AI,N/A,12,FR,2025-06-08,referral,True,7,1.6,2,True,3002.33,"Pyme de healthcare ágil, ya usa varias herramientas SaaS, presupuesto acotado.",True,48.0,quick_mover
L0344,Iberia AI,retail,1036,FR,2025-10-25,outbound,True,17,25.1,6,False,12528.65,"Líder de mercado en retail con sede en FR, integra herramientas a nivel grupo.",True,8.0,strategic
L0230,Duna Works,logistics,22,DE,2025-05-12,paid,True,8,2.0,5,True,7719.67,"Empresa de logistics pequeña en DE, equipo joven y decide rápido.",True,,quick_mover
L0523,Setas Group,logistics,14,IT,2024-10-24,paid,True,4,0.8,1,True,999999.99,"Pyme de logistics ágil, ya usa varias herramientas SaaS, presupuesto acotado.",True,1.0,quick_mover
L0720,Lila Group,SaaS,115,ES,2024-11-30,outbound,False,2,88.5,0,False,7488.95,Equipo de SaaS en ES pidiendo info pero sin sponsor interno claro.,False,,tire_kicker
L0751,Faena Systems,logistics,11,ES,2024-09-26,paid,True,2,3.3,4,True,3696.31,"Pyme de logistics ágil, ya usa varias herramientas SaaS, presupuesto acotado.",True,11.0,quick_mover
L0498,Uva Group (España),logistics,82,FR,2024-06-12,paid,True,7,73.6,2,False,3832.86,"Negocio de logistics curioso pero sin urgencia, comparando alternativas gratuitas.",False,,tire_kicker
L0507,Faro AI,fintech,34,PT,2024-12-05,referral,True,5,4.0,5,False,9174.41,"Startup de fintech con unos 34 empleados, busca cerrar trato en semanas.",True,42.0,quick_mover
L0731,Acme Solutions,healthcare,18,ES,2025-11-05,paid,False,5,3.0,1,False,5120.27,"Startup de healthcare con unos 18 empleados, busca cerrar trato en semanas.",True,21.0,quick_mover
L0506,Ibis Data,fintech,27,DE,2025-03-10,organic,True,1,72.4,0,True,4874.66,"Pyme de fintech en fase exploratoria, sin presupuesto asignado todavía.",False,,tire_kicker
L0428,Dátil Solutions,SaaS,220,UK,2025-04-14,organic,True,3,236.4,0,True,7357.06,"Negocio de SaaS curioso pero sin urgencia, comparando alternativas gratuitas.",False,,tire_kicker
L99003,Pulpo Dynamics,retail,92,ES,2024-04-19,organic,False,1,72.6,0,True,3436.62,Equipo de retail en ES pidiendo info pero sin sponsor interno claro.,False,,tire_kicker
L0250,Jacaranda Solutions,SaaS,999,ES,2025-09-14,referral,True,20,9.7,3,True,26878.81,"Líder de mercado en SaaS con sede en ES, integra herramientas a nivel grupo.",False,,strategic
L0447,Jacaranda AI,logistics,77,ES,2024-09-24,referral,False,2,119.1,0,False,4808.92,Equipo de logistics en ES pidiendo info pero sin sponsor interno claro.,False,,tire_kicker
L0463,Trébol Data,retail,102,ES,2024-12-05,organic,False,5,27.7,0,False,4331.72,"Negocio de retail curioso pero sin urgencia, comparando alternativas gratuitas.",False,,tire_kicker
L0065,Pulpo Group,SaaS,63,ES,2025-12-12,organic,True,3,125.2,0,False,3556.58,"Pyme de SaaS en fase exploratoria, sin presupuesto asignado todavía.",False,,tire_kicker
L0772,Duna Dynamics,fintech,666,ES,2024-03-04,conference,False,21,27.3,7,True,26733.4,"Empresa establecida en fintech, más de 666 empleados, requiere RFP y prueba piloto.",False,,strategic
L0129,Bolero Systems,healthcare,28,Unknown,2024-12-26,conference,True,5,5000.0,3,False,8309.85,"pequeña jugador de healthcare en FR, ciclo de compra corto.",False,,quick_mover
L0096,Quinoa Hub,retail,77,ES,2025-05-11,organic,True,1,155.8,1,True,3653.81,Equipo de retail en ES pidiendo info pero sin sponsor interno claro.,False,,tire_kicker
L0710,Bizum Works,logistics,125,ES,2024-03-24,outbound,True,37,30.8,6,True,12477.36,"Líder de mercado en logistics con sede en ES, integra herramientas a nivel grupo.",False,,strategic
L0058,Quinoa Tech,fintech,473,ES,2024-09-11,outbound,True,26,21.0,6,False,23128.16,"Líder de mercado en fintech con sede en ES, integra herramientas a nivel grupo.",False,,strategic
L0584,Gamba Hub,,3454,ES,2024-08-08,conference,True,26,19.0,3,True,17287.22,"Empresa establecida en retail, más de 3454 empleados, requiere RFP y prueba piloto.",False,,strategic
L0210,Garbanzo Studio,retail,990,ES,2025-12-08,conference,True,19,32.8,6,True,14560.84,"Corporación del sector retail con presencia en varios países, ciclo de compra largo y comité formal.",True,65.0,strategic
L0156,Naranja Data,retail,63,ES,2025-09-29,organic,True,2,61.5,0,False,2341.12,"Pyme de retail en fase exploratoria, sin presupuesto asignado todavía.",False,,tire_kicker
L0403,Ruta Systems,fintech,63,ES,2024-06-15,organic,True,5,64.7,0,True,7749.98,"Pyme de fintech en fase exploratoria, sin presupuesto asignado todavía.",False,,tire_kicker
L0645,Pulpo Data,fintech,169,ES,2025-07-04,outbound,False,3,72.6,0,False,13500.16,"Negocio de fintech curioso pero sin urgencia, comparando alternativas gratuitas.",False,,tire_kicker
L0408,Zarza Systems,logistics,93,ES,2024-02-20,paid,False,2,89.7,0,False,2218.95,"Empresa de logistics de tamaño medio, descarga whitepapers pero no responde llamadas.",False,,tire_kicker
L0265,Pera Pro,healthcare,53,PT,2024-08-19,ORGANIC,False,3,38.3,0,False,4802.01,"Empresa de healthcare de tamaño medio, descarga whitepapers pero no responde llamadas.",False,,tire_kicker
L0322,Yedra AI,fintech,141,PT,2025-05-01,referral,True,27,22.8,2,True,29637.95,"Líder de mercado en fintech con sede en PT, integra herramientas a nivel grupo.",False,,strategic
L0621,Ágora Solutions,fintech,53,France,2025-03-09,organic,False,4,63.1,0,False,4772.53,"Empresa de fintech de tamaño medio, descarga whitepapers pero no responde llamadas.",False,,tire_kicker
L0188,Zarza Studio,logistics,8,DE,2024-06-14,outbound,True,9,1.8,1,True,3715.57,"pequeña jugador de logistics en DE, ciclo de compra corto.",False,,quick_mover
L0596,Wadi Labs,fintech,12,ES,2025-02-01,referral,True,9,1.2,2,False,4646.91,"Startup de fintech con unos 12 empleados, busca cerrar trato en semanas.",True,5.0,quick_mover
L0217,Kéfir Cloud,healthcare,43,ES,2024-04-01,organic,False,6,5.0,1,True,11613.66,"Startup de healthcare con unos 43 empleados, busca cerrar trato en semanas.",True,1.0,quick_mover
L0145,Zarza Works,retail,1528,IT,2025-06-23,outbound,True,26,47.5,6,True,28987.11,TBD,True,109.0,strategic
L0021,Lila Hub,healthcare,176,ES,2025-04-07,organic,False,4,57.9,0,False,5269.05,"Negocio de healthcare curioso pero sin urgencia, comparando alternativas gratuitas.",False,,tire_kicker
L0091,Setas AI,fintech,25,ES,2025-10-17,paid,True,17,0.9,1,False,6737.53,"Startup de fintech con unos 25 empleados, busca cerrar trato en semanas.",True,18.0,quick_mover
L0462,Bolero Networks,logistics,22,ES,2025-10-09,paid,True,3,1.1,2,True,4888.09,"pequeña jugador de logistics en ES, ciclo de compra corto.",False,,quick_mover
L0012,Dátil Works,fintech,43,FR,2025-06-30,organic,False,3,90.1,0,False,6398.48,"Curious fintech buyer, no champion identified, slow to respond.",False,,tire_kicker
L0246,Trébol Pro,logistics,181,FR,2025-03-25,referral,False,2,-1.0,0,True,4230.42,"Negocio de logistics curioso pero sin urgencia, comparando alternativas gratuitas.",False,,tire_kicker
L0633,Nube Data,N/A,6,ES,2024-03-28,organic,True,6,3.6,4,True,3895.87,"pequeña jugador de SaaS en ES, ciclo de compra corto.",True,9.0,quick_mover
L0605,Acme Cloud,logistics,43,PT,2024-03-13,organic,True,3,72.2,0,False,4043.81,"Pyme de logistics en fase exploratoria, sin presupuesto asignado todavía.",False,,tire_kicker
