lead_id,company_name,industry,company_size,country,signup_date,source,demo_requested,emails_opened,response_time_hours,n_meetings,decision_maker_contacted,quoted_acv_eur,company_description,converted,converted_within_days,lead_segment_truth
L0057,Bizum Dynamics,fintech,34,ES,2025-05-09,organic,True,4,49.1,0,True,6077.81,Equipo de fintech en ES pidiendo info pero sin sponsor interno claro.,False,,tire_kicker
L0073,Setas Solutions,retail,425,ES,2025-12-03,outbound,True,25,-1.0,4,False,10722.79,"Corporación del sector retail con presencia en varios países, ciclo de compra largo y comité formal.",False,,strategic
L0058,Jaca Data,healthcare,22,FR,2025-06-18,paid,True,5,2.2,2,True,1000000.0,"pequeña jugador de healthcare en FR, ciclo de compra corto.",True,1.0,quick_mover
L0061,Kéfir Cloud,retail,129,IT,2025-11-17,organic,True,1,240.0,0,False,4984.41,"Negocio de retail curioso pero sin urgencia, comparando alternativas gratuitas.",False,,tire_kicker
L0078,test,SaaS,29,ES,2025-07-18,paid,True,5,2.2,3,False,8109.9,,True,41.0,quick_mover
L0127,Jaca Systems,retail,26,ES,2024-10-07,referral,True,9,2.2,4,True,2410.83,"Pyme de retail ágil, ya usa varias herramientas SaaS, presupuesto acotado.",False,,quick_mover
L0091,Ibis Tech,fintech,103,DE,2025-09-11,organic,False,5,60.9,0,False,4914.64,"Pyme de fintech en fase exploratoria, sin presupuesto asignado todavía.",False,,tire_kicker
L0129,Estuario Pro,healthcare,11,ES,2024-09-19,paid,True,,5000.0,1,True,6807.34,"Pyme de healthcare ágil, ya usa varias herramientas SaaS, presupuesto acotado.",True,5.0,quick_mover
L99002,Estuario Pro  ,healthcare,11,ES,2024-09-19,paid,True,,5000.0,1,True,6807.34,"Pyme de healthcare ágil, ya usa varias herramientas SaaS, presupuesto acotado.",True,5.0,quick_mover
L0017,Bizum Data,fintech,38,DE,2024-01-19,organic,False,2,22.1,0,False,6087.8,Equipo de fintech en DE pidiendo info pero sin sponsor interno claro.,False,,tire_kicker
L0105,Garbanzo Pro,retail,13,DE,2024-09-13,conference,False,7,2.5,3,True,2559.0,"Pyme de retail ágil, ya usa varias herramientas SaaS, presupuesto acotado.",True,2.0,quick_mover
L0080,Cardo Hub,SaaS,90,ES,2024-04-11,paid,False,0,29.4,1,False,4048.72,"Pyme de SaaS en fase exploratoria, sin presupuesto asignado todavía.",False,,tire_kicker
L0130,Uva Cloud,retail,275,ES,2025-07-29,organic,True,27,15.0,7,True,17971.36,"Corporación del sector retail con presencia en varios países, ciclo de compra largo y comité formal.",True,,strategic
L0036,Bizum Systems,fintech,294,ES,2024-04-05,referral,False,5,33.9,1,True,1.0,Equipo de fintech en ES pidiendo info pero sin sponsor interno claro.,False,,tire_kicker
L0001,Setas Pro,healthcare,237,ES,2024-12-12,conference,False,7,97.1,1,True,5309.73,"Empresa de healthcare de tamaño medio, descarga whitepapers pero no responde llamadas.",False,,tire_kicker
L0024,Olivo Cloud,retail,19,ES,2025-08-10,paid,True,7,2.3,1,True,5122.38,"Startup de retail con unos 19 empleados, busca cerrar trato en semanas.",True,2.0,quick_mover
L0126,Naranja Group,healthcare,56,PT,2025-12-01,conference,True,20,9.3,4,True,14666.13,"Corporación del sector healthcare con presencia en varios países, ciclo de compra largo y comité formal.",False,,strategic
L0096,Naranja Hub,healthcare,694,UK,2024-12-02,conference,False,31,19.3,3,True,17629.94,"Corporación del sector healthcare con presencia en varios países, ciclo de compra largo y comité formal.",False,,strategic
L0107,  Bolero Tech,healthcare,60,DE,2024-05-03,referral,False,3,27.6,2,False,6000.54,Equipo de healthcare en DE pidiendo info pero sin sponsor interno claro.,False,,tire_kicker
L0030,Nube Works,fintech,5,ES,2024-09-24,paid,True,7,2.7,2,False,6285.58,"Pyme de fintech ágil, ya usa varias herramientas SaaS, presupuesto acotado.",False,,quick_mover
L0025,Jacaranda Works,SaaS,51,UK,2025-12-15,referral,False,3,60.4,0,False,4865.03,"Pyme de SaaS en fase exploratoria, sin presupuesto asignado todavía.",False,,tire_kicker
L99001,Kéfir Cloud (dup),healthcare,999999,ES,2025-02-06,conference,False,1,102.3,1,True,4085.3,Equipo de healthcare en ES pidiendo info pero sin sponsor interno claro.,False,,tire_kicker
L0053,Hidra Dynamics,retail,668,ES,2025-05-10,outbound,True,14,27.1,4,True,7602.49,"Empresa establecida en retail, más de 668 empleados, requiere RFP y prueba piloto.",False,,strategic
L0147,Pera Studio,SaaS,110,ES,2024-06-06,organic,True,6,34.6,0,False,9580.47,"Empresa de SaaS de tamaño medio, descarga whitepapers pero no responde llamadas.",False,,tire_kicker
L0048,Zarza Digital,SaaS,78,ES,2025-02-03,outbound,True,1,34.1,0,False,3724.15,"Empresa de SaaS de tamaño medio, descarga whitepapers pero no responde llamadas.",False,,tire_kicker
L0114,Estuario Works,fintech,41,DE,2025-07-28,organic,False,2,108.7,0,False,5584.59,"Empresa de fintech de tamaño medio, descarga whitepapers pero no responde llamadas.",False,,tire_kicker
L0110,Setas Cloud,logistics,58,España,2025-04-27,conference,False,3,28.0,1,True,2832.86,Equipo de logistics en ES pidiendo info pero sin sponsor interno claro.,False,,tire_kicker
